Case,Inlet Velocity ,Density,Kinematic Viscosity ,Bifurcation Type,D1 (m),D2 (m),I (m),A1,A2,A3,Angle (X1),Angle (X2),Reynlods Number,Particle Density,Particle Diameter,D1/D2,I/D1,I/D2,SIx_1,SIy_1,SIz_1,Q1,SIx_2,SIy_2,SIz_2,Q2,Q1/Q2,V1,V2,,,,,,
37,0.212,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,110,0,5.33E+02,1050,0.0006,4,1,4,6.00E-06,8.59E-06,2.64E-09,1.04753E-05,8.93E-08,-1.30E-07,-1.16E-09,1.57496E-07,66.51177279,0.208399264,0.050132301,,,,,,
38,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,110,0,4.00E+02,1050,0.0006,0.666666667,1.5,1,8.42E-07,1.20E-06,4.61E-09,1.46805E-06,2.59E-06,-3.69E-06,-5.17E-09,4.50739E-06,0.325698369,0.116823362,0.159415886,,,,,,
39,0.212,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,110,0,2.67E+02,1050,0.0006,0.5,2,1,1.48E-07,2.13E-07,-7.18E-10,2.59307E-07,1.36E-06,-1.95E-06,2.80E-09,2.38103E-06,0.108905279,0.082539777,0.189476071,,,,,,
40,0.212,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,110,0,1.33E+02,1050,0.0006,1.333333333,1,1.333333333,2.77E-07,3.97E-07,-2.04E-10,4.84107E-07,9.73E-08,-1.42E-07,-1.02E-09,1.72354E-07,2.808787781,0.154095615,0.097532381,,,,,,
41,0.212,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,130,0,5.33E+02,1050,0.0006,1,1,1,2.17E-06,4.84E-06,-3.32E-09,5.30704E-06,2.17E-06,-4.87E-06,1.96E-08,5.3325E-06,0.995225978,0.105580038,0.106086497,,,,,,
42,0.212,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,130,0,5.33E+02,1050,0.0006,0.75,1.333333333,1,1.43E-06,3.08E-06,-2.99E-09,3.39911E-06,3.00E-06,-6.59E-06,-8.24E-09,7.24233E-06,0.469339217,0.120218613,0.144081226,,,,,,
43,0.212,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,130,0,5.33E+02,1050,0.0006,0.5,2,1,5.71E-07,1.24E-06,1.11E-08,1.36956E-06,3.86E-06,-8.42E-06,4.96E-09,9.26306E-06,0.147851589,0.108985696,0.184282254,,,,,,
44,0.212,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,130,0,5.33E+02,1050,0.0006,0.25,4,1,7.23E-08,1.53E-07,-1.80E-09,1.69605E-07,4.42E-06,-9.49E-06,1.12E-09,1.04663E-05,0.016204854,0.053986765,0.208219884,,,,,,
45,0.212,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,130,0,5.33E+02,1050,0.0006,1.333333333,1,1.333333333,2.98E-06,6.59E-06,8.50E-09,7.23732E-06,1.43E-06,-3.09E-06,-2.22E-09,3.40197E-06,2.127393324,0.143981541,0.120319633,,,,,,
46,0.212,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,130,0,5.33E+02,1050,0.0006,2,1,2,3.86E-06,8.43E-06,4.26E-09,9.27113E-06,5.62E-07,-1.24E-06,-9.24E-09,1.36306E-06,6.801692087,0.184442826,0.108468789,,,,,,
47,0.212,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,130,0,5.33E+02,1050,0.0006,4,1,4,4.40E-06,9.49E-06,5.72E-10,1.04624E-05,7.33E-08,-1.55E-07,2.04E-09,1.71231E-07,61.10096693,0.208142212,0.054504463,,,,,,
48,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,130,0,4.00E+02,1050,0.0006,0.666666667,1.5,1,6.28E-07,1.34E-06,6.20E-09,1.47734E-06,1.89E-06,-4.08E-06,-9.85E-09,4.49602E-06,0.328588386,0.117562756,0.159013878,,,,,,
49,0.212,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,130,0,2.67E+02,1050,0.0006,0.5,2,1,1.14E-07,2.42E-07,3.56E-09,2.67714E-07,1.02E-06,-2.14E-06,5.77E-09,2.37333E-06,0.112801156,0.085215797,0.188862862,,,,,,
50,0.212,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,130,0,1.33E+02,1050,0.0006,1.333333333,1,1.333333333,2.02E-07,4.38E-07,-1.97E-09,4.82346E-07,7.36E-08,-1.57E-07,-1.51E-10,1.73818E-07,2.77500417,0.153535214,0.09836075,,,,,,
51,0.3,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,90,0,7.54E+02,1050,0.0006,1,1,1,5.20E-06,5.47E-06,2.17E-09,7.54945E-06,5.17E-06,-5.43E-06,9.39E-10,7.49547E-06,1.007202157,0.150191283,0.149117317,,,,,,
